LITOLOGIA,ABREVIACAO,COR,CODIGO
ANIDRITA,AND,#dd1dff,82
ARDOSIA,ARS,#00dd00,77
AREIA,ARE,#ffff3f,48
ARENITO,ARN,#ffff3f,49
ARENITO ARGILOSO,ARL,#7eff00,25
ARENITO CARBONATICO,ARC,#3fbeff,26
ARENITO CONGLOMERATICO,ARO,#ffbe1d,27
ARENITO FOSFATICO,ARF,#ffff3f,28
ARENITO TOBACEO,ART,#dddddd,29
ARGILA,ARG,#7eff00,55
ARGILITO,AGT,#7eff00,56
ARGILITO ARENOSO,AGN,#ffff3f,20
ARGILITO CARBONATICO,AGL,#2f0eff,21
ARGILITO CARBONOSO,AGC,#dddddd,22
ARGILITO SILTICO,AGS,#af1d4e,23
ARGILITO TOBACEO,AGB,#dddddd,24
BASALTO,BAS,#ff00ff,66
BIOLITITO,BLT,#afecec,16
BRECHA,BRC,#ffdd1d,40
BRECHA VULCANICA,BRV,#da62bc,41
CALCARENITO,CRE,#007eec,8
CALCARIO,CAL,#beffff,1
CALCARIO CRISTALINO,CLC,#00ecec,2
CALCILUTITO,CLU,#4effff,6
CALCIRUDITO,CRU,#007eec,10
CALCISSILTITO,CSI,#3fbeff,7
CARNALITA,CRN,#af5ddd,87
CARVAO,CRV,#dddddd,92
CHERT,CHT,#dddddd,19
CIMENTO,CIM,#4effff,11
CONGLOMERADO,CGL,#ffbe1d,42
COQUINA,COQ,#afecec,4
DIABASIO,DIA,#ff00ff,65
DIAMICTITO,DMT,#0eec5d,44
DOLOMITO,DOL,#00becd,30
FANGOLITA,FNG,#dddddd,95
FILITO,FLT,#3fa000,72
FOLHELHO,FLH,#3fff00,57
FOLHELHO SILTICO,FLS,#3fff00,52
FOSFORITA,PHO,#ffbe1d,18
GIPSITA,GIP,#dd1dff,83
GNAISSE,GNA,#ff0000,71
GRAINSTONE,GRS,#007eec,15
GRANITO,GRN,#ff0000,67
HALITA,HAL,#6dafcd,85
IGNEA NAO IDENTIFICADA,INI,#ff0000,64
IGNIMBRITO,IGB,#b66d23,63
LIMOARCILITA,LMA,#dddddd,53
LINHITO,LNT,#dddddd,90
MARGA,MRG,#2f0eff,58
MARMORE,MRM,#ffbeff,3
MARMORE DOLOMITICO,MRD,#ff00ff,5
META-ARENITO,MAR,#ff3f3f,75
METASSILTITO,MSI,#dd3f3f,76
METAMORFICA NAO IDENTIFICADA,MNI,#ff0000,70
METASSEDIMENTO,MSD,#ff0000,79
MUDSTONE,MDS,#7faeae,12
PACKSTONE,PKS,#18b1f1,14
QUARTZITO,QZT,#ff3f3f,74
RIOLITO,RLT,#e98918,68
SAL NAO IDENTIFICADO,SNI,#8e1ddd,84
SIDERITA,SID,#e98918,9
SILEXITO,SLX,#beffff,94
SILTITO,SLT,#af1d4e,54
SILVINITA,SLV,#cda0dd,86
TALCOESTIVENCITA,TES,#ffff3f,91
TAQUIDRITA,TQD,#6d1ddd,81
TILITO,TIL,#2fec5d,46
TOBA,TOB,#dddddd,59
TOBA ARENOSA,TON,#ffff3f,43
TOBA ARGILOSA,TOL,#7eff00,45
TOBA SILTICA,TOS,#af1d4e,47
TUFO VULCANICO,TUF,#ff5dbe,61
ULTRABASICA,ULB,#00a000,78
VULCANICA NAO IDENTIFICADA,VNI,#ffbe1d,34
WACKESTONE,WKS,#33d8f9,13
XISTO,XST,#ff5d5d,73
